k,Linear_MAE,Linear_MSE,Linear_RMSE,Linear_R2,Ridge_MAE,Ridge_MSE,Ridge_RMSE,Ridge_R2,Lasso_MAE,Lasso_MSE,Lasso_RMSE,Lasso_R2,RandomForest_MAE,RandomForest_MSE,RandomForest_RMSE,RandomForest_R2,GradientBoosting_MAE,GradientBoosting_MSE,GradientBoosting_RMSE,GradientBoosting_R2,SVR_MAE,SVR_MSE,SVR_RMSE,SVR_R2,ICL_MAE,ICL_MSE,ICL_RMSE,ICL_R2,Linear_Time_s,Ridge_Time_s,Lasso_Time_s,RandomForest_Time_s,GradientBoosting_Time_s,SVR_Time_s,ICL_Time_s
10,1.5661912835361458,4.039727685039635,2.0099073822043727,-1.9807365346694104,1.0169090313031974,3.009290404073811,1.734730643089529,-1.2204224022503323,0.9732275551214146,2.89012804439331,1.7000376596985463,-1.1324977630791153,0.8033591950000003,1.27515492799706,1.129227580249907,0.05911953042763418,1.0559092951394018,2.195933003185409,1.4818680788738952,-0.6202819201207737,0.9041046167527261,1.283511683073231,1.1329217462266452,0.0529534501596316,1.25765,2.6197510500000005,1.6185645028851956,-0.932998527448252,0.0006029605865478516,0.0005738735198974609,0.0007791519165039062,0.07148623466491699,0.02060699462890625,0.00034689903259277344,34.140811920166016
20,1.1605958573412847,2.9161712993718334,1.7076800928077347,-1.1517139300211783,0.9322689810956263,1.877388813486288,1.3701783874686857,-0.3852422396841162,0.8057004437895288,1.6657915461091537,1.2906554714985536,-0.2291139670178739,0.7483154550000003,0.8316605916693742,0.9119542706020813,0.3863544022499229,0.8821480729799436,1.2979288236024096,1.1392667921090343,0.04231567928712188,0.79874057393035,1.2326229081066473,1.1102355192060138,0.09050202832474052,1.10845,1.5607360500000005,1.2492942207502604,-0.15159815906377894,0.0011093616485595703,0.0005691051483154297,0.0009751319885253906,0.06341409683227539,0.02172684669494629,0.000408172607421875,28.21663188934326
30,0.7569259336239087,1.0582669096434076,1.0287210067085282,0.21915161442995934,0.712374122488678,0.8781101364018289,0.9370753098880734,0.35208133589559254,0.7219985083468059,0.9451833343360863,0.9722053971955136,0.30259098724656175,0.8177090099999988,1.0766793727113497,1.0376316170546027,0.20556587161785989,0.7703101800361067,0.9976878886907258,0.9988432753393927,0.2638501968757191,0.6051797996514694,0.5941850418849639,0.7708339911323085,0.5615771158883922,1.0058500000000001,1.3508960500000005,1.1622805384243515,0.0032335036622427316,0.0004730224609375,0.0007560253143310547,0.0008089542388916016,0.06708884239196777,0.025719881057739258,0.0004169940948486328,35.628074169158936
40,0.7673581045808802,1.172406675482733,1.082777297269726,0.1349329252950875,0.7028188948903442,0.964455110987854,0.982066754853179,0.2883711949158444,0.7051442166326294,0.7381247711645702,0.8591418806952494,0.4553703506544289,0.6995177949999997,0.8117599404423359,0.9009772141637855,0.40103821333843315,0.7184132810751478,0.9559220321458819,0.9777126531583202,0.29466737669851106,0.559479119596993,0.49872032431332747,0.7062013341203254,0.6320163121964675,1.04475,1.4696380500000001,1.2122862904446292,-0.08438097067731709,0.0009019374847412109,0.0009670257568359375,0.0004940032958984375,0.06782007217407227,0.025966882705688477,0.0004620552062988281,28.693785190582275
50,0.5624009241783539,0.48685533924506164,0.6977501983124488,0.6407709603395242,0.539549228338968,0.4488883387766124,0.6699912975379698,0.6687851321430395,0.6727323326488474,0.6008455001070578,0.7751422450796098,0.5566626581060627,0.727315614999999,0.8856318991270294,0.9410801767793376,0.34653135958329073,0.7966866561602802,1.00203231362464,1.00101564104895,0.26064463770632174,0.5072489130303014,0.4315199965706597,0.6569018165377987,0.6816004643129889,0.9387500000000001,1.6727870500000002,1.2933626908180087,-0.23427564019279812,0.0005369186401367188,0.0004830360412597656,0.000408172607421875,0.07181787490844727,0.0274200439453125,0.0005090236663818359,336.318922996521
60,0.5980866530309645,0.549792645627039,0.7414800372410838,0.5943323032931145,0.5716524554680028,0.489348886287579,0.6995347641737178,0.638931082171975,0.6599551059444768,0.6011465633202707,0.7753364194465978,0.5564405168656539,0.6425522600000005,0.7449455136053332,0.8631022613835125,0.4503376262304425,0.7880734210823367,0.9871111062302296,0.9935346527576326,0.2716543372429039,0.5000208435823559,0.45791736752104645,0.6766959195392318,0.6621230108444225,1.47005,3.5616910500000003,1.8872443005610058,-1.628014427124905,0.00044798851013183594,0.0004298686981201172,0.00045299530029296875,0.06678223609924316,0.028275251388549805,0.0005159378051757812,332.0483548641205
70,0.6089972589852437,0.5485686737101069,0.7406542200717599,0.5952354180807077,0.5841714567101265,0.511360636438212,0.7150948443655653,0.6226895844816764,0.6641927200921067,0.6089478308431404,0.780351094599822,0.5506843063150608,0.6213553600000001,0.7251444948928005,0.8515541643916731,0.46494792288947084,0.7451530498011476,0.923329103801042,0.9609001528780408,0.3187162581736428,0.4981253273255242,0.4399739586726401,0.6633053283915636,0.6753626592764258,1.62225,4.02123505,2.005301735400436,-1.967091636502368,0.0008077621459960938,0.0006310939788818359,0.0005996227264404297,0.07502198219299316,0.02963399887084961,0.0006389617919921875,332.5045680999756
80,0.5779460607826648,0.5018271876481813,0.7083976197363888,0.6297238950405489,0.5689799993831715,0.48694940469930376,0.697817601310904,0.6407015535977906,0.6683191604409207,0.6089492517812183,0.7803520050472211,0.5506832578676475,0.6704384950000003,0.8320103716396036,0.9121460253926471,0.38609631506740827,0.7081969588591898,0.9585562985783029,0.9790588841220444,0.2927236679118398,0.4894567996109645,0.43006570234127706,0.6557939480822288,0.6826735237565086,1.0702500000000001,1.6426250500000001,1.2816493475206079,-0.21202043331545228,0.00044798851013183594,0.000985860824584961,0.0009150505065917969,0.0805361270904541,0.03020620346069336,0.0007092952728271484,337.14055824279785
90,0.5944577037016399,0.5308238553805589,0.7285765954109141,0.608328535344981,0.5839026431597583,0.5129071602859023,0.7161753697844561,0.6215484728786296,0.6742910125894851,0.6191143670036928,0.7868382089119038,0.5431828685629518,0.5974944400000002,0.7902867667808879,0.8889807460124701,0.41688231923819774,0.647021341161084,0.838759814846336,0.915838312611094,0.38111619919734907,0.4777473179350766,0.4218691551111188,0.6495145534251859,0.6887213937348624,0.9962500000000001,1.4448750499999998,1.2020295545451452,-0.06610944730672741,0.0012099742889404297,0.0010042190551757812,0.0007939338684082031,0.07985711097717285,0.03266096115112305,0.0007259845733642578,342.1233699321747
100,0.5958555725691558,0.5204602022705479,0.7214292773865972,0.61597541698308,0.5823872417794009,0.5067230889571935,0.7118448489363349,0.6261114258248758,0.6777130247739942,0.6154083625898707,0.7844796763395918,0.5459173654437279,0.5836771749999998,0.7031974812910277,0.8385687099403528,0.4811416543412108,0.6276592558203273,0.7825155310644532,0.8845990792808079,0.42261637064599156,0.4792476051766229,0.4187654502339977,0.6471208930594018,0.6910114804043989,0.95605,1.6143100499999998,1.2705550165183717,-0.1911280461152649,0.00630497932434082,0.0032079219818115234,0.0032148361206054688,0.07736802101135254,0.03605914115905762,0.0020139217376708984,338.95477509498596
